dataset,current_status,replacement_owner,replacement_surface,compatibility_policy,rationale
cancer-driver-genes,frozen_replacement_available,oncoref,driver-gene-evidence,ship_read_only_no_new_rows,Every frozen row is byte-identical to the pinned OpenVax export and migrated with Bailey et al. Table S1 provenance; entity-specific distribution evidence remains separate
cancer-driver-variants,frozen_replacement_available,oncoref,driver-variant-evidence,ship_read_only_no_new_rows,Every frozen row is byte-identical to the pinned OpenVax export and migrated with Bailey et al. Table S4 provenance without inventing a cancer entity
cancer-key-genes,frozen_downstream_owned,split_by_semantics,pirlygenes purpose-specific panels; oncoref therapy-benefit-toxicity-evidence,ship_read_only_no_new_rows,Panel membership belongs downstream while empirical clinical benefit and toxicity facts remain in oncoref
cancer-type-genes,frozen_downstream_owned,pirlygenes,purpose-specific lineage and marker panels,ship_read_only_no_new_rows,A role-stratified gene list is a consumer panel rather than an empirical reference fact
cancer-viral-antigens,frozen_downstream_owned,pirlygenes,oncovirus target-selection panels,ship_read_only_no_new_rows,The historical rows select therapeutic targets rather than only recording source-anchored measurements
disease-state-rules,frozen_downstream_owned,trufflepig,per-sample disease-state interpretation rules,ship_read_only_no_new_rows,Per-sample claims and conditions belong in the analysis layer
fusion-expression-effects,frozen_downstream_owned,trufflepig,per-sample fusion interpretation rules,ship_read_only_no_new_rows,Expression consequences are analysis rules unless represented as source-anchored cohort measurements
fusion-surrogate-expression,frozen_downstream_owned,trufflepig,per-sample fusion surrogate rules,ship_read_only_no_new_rows,Surrogate calls are analysis-layer interpretation rather than base reference data
narrative-gene-sets,frozen_downstream_owned,pirlygenes,purpose-specific named gene sets,ship_read_only_no_new_rows,Named narrative panels are consumer policy and not empirical base facts
cancer-response-signatures,frozen_downstream_owned,pirlygenes,therapy-response signatures,ship_read_only_no_new_rows,Response panels are purpose-specific model inputs; oncoref retains source-anchored clinical outcome facts instead
rare-cancer-fusion-rules,frozen_downstream_owned,trufflepig,per-sample rare-fusion interpretation rules,ship_read_only_no_new_rows,Diagnostic and therapeutic fusion calls belong in the sample interpretation layer
